Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2005,2.48,0.71,4.53,2.95,4.49,2.44,0.24,0.16,0.51,3.74,6.61,11.06
2006,13.78,3.15,4.02,2.68,2.44,0.94,0.12,0.04,0.71,1.14,15.71,8.39
2007,4.13,5.98,3.07,2.28,1.34,0.91,0.47,0.79,1.46,5.12,4.92,10.31
2008,8.5,2.76,4.8,2.28,0.51,0.94,0.04,1.34,0.51,1.57,5.04,6.50
2009,3.78,3.62,3.66,1.5,3.9,1.14,0.67,0.24,1.26,3.27,7.95,5.35
2010,6.85,4.41,5.98,4.53,3.23,2.8,0.08,0.47,2.13,5.24,6.22,10.75
2011,3.66,3.31,8.43,4.21,3.27,1.1,1.06,0.04,0.39,2.56,6.06,4.49
2012,10.12,3.82,11.57,4.21,2.64,2.36,0.43,0.04,0.08,5.47,9.09,9.09
2013,2.4,1.81,2.32,1.97,2.76,1.46,0,0.31,7.44,1.38,2.8,2.36
2014,2.64,8.15,7.83,3.35,2.44,0.79,0.55,0.24,1.34,5.04,6.38,8.07
2015,3.58,5.59,3.94,1.85,0.94,0.67,0,0.43,1.57,2.44,5.31,15.31
2016,5.98,3.5,8.11,3.62,1.06,1.57,0,0.2,2.05,5.67,8.31,3.54
2017,5.98,12.72,8.23,4.13,1.97,0,0,0.2,2.05,5.67,8.5,3.50
