Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1992,43.03,47.12,50.31,53.42,60.06,65.08,67.8,68.16,61.57,54.72,45.55,38.66
1993,34.54,38.59,48.9,50.02,58.5,60.03,62.33,66.92,62.35,55.83,39.38,38.68
1994,42.96,40.73,48.78,51.28,56.98,59.14,67.68,65.75,64.27,51.73,40.46,41.52
1995,43.52,46.15,46.71,48.76,57.29,61.3,68.25,64.53,65.21,52.68,50.05,41.81
1996,41.95,41.85,47.21,51.82,53.02,59.95,69.48,67.66,59.94,52.34,45.27,41.56
1997,41,43.09,46.49,50.14,60.01,60.08,66.33,69.26,63.63,51.84,48.31,38.84
1998,43.16,44.91,47.32,49.73,54.45,60.78,68.99,68.23,64.87,52.92,47.43,39.34
1999,41.52,42.69,44.22,49.08,52.77,58.96,64.27,67.3,62.91,53.69,49.14,41.92
2000,39.49,43.38,44.49,51.58,55.9,62.55,65.32,65.37,62.31,53.47,41.34,39.88
2001,40.1,41.18,46.78,47.62,56.52,58.53,65.08,66.49,62.83,52.47,47.61,40.91
2002,40.84,43.25,43.59,50.63,53.64,60.93,67.75,66.42,63.19,52.41,46.13,43.21
2003,44.01,43.65,48.92,49.35,55.42,63.52,68.86,67.28,64.33,56.55,43.03,41.43
2004,40.19,43.65,49.51,52,57.16,62.74,68.88,69.17,60.98,54.52,43.47,42.28
2005,41.32,42.08,48.4,50.11,57.63,58.95,68.31,68.34,60.3,54.61,42.85,38.8
2006,44.11,41.54,44.37,51.22,57.16,63.84,69.33,66.24,62.28,52.32,46.51,40.08
2007,38.26,44.26,48.81,49.46,55.2,60.37,68.72,66.36,61.32,51.35,43.83,40.46
2008,36.82,42.21,42.91,46.54,56.14,58.33,67.01,67.35,61.63,51.78,48.29,37.69
2009,39.52,41.2,43.74,48.7,55.78,62.74,69.42,66.49,63.48,51.75,45.03,35.92
2010,44.76,46.04,46.17,48.88,52.97,59.13,66.47,65.79,62.11,53.47,44.98,43.61
2011,41.32,40.3,45.81,46.65,51.98,59.4,64,67.23,65.34,53.65,44.22,37.58
2012,40.73,42.31,43.09,51.13,54.48,59.04,65.75,67.73,63.28,54.12,47.52,42.33
2013,36.75,43.11,46.02,51.17,57.85,62.51,69.26,68.31,63.57,51.12,45.05,35.78
2014,40.82,41.63,48.72,51.76,58.35,61.47,70.45,70.34,65.12,58.48,46.27,44.78
2015,43.63,48.97,50.74,49.95,57.51,67.32,71.04,69.31,61.36,57.88,43.81,44.15
2016,42.96,47.52,48.67,55.42,59.31,63.57,66.63,68.65,61.03,54.34,50.76,36.84
2017,35.67,42.69,47.25,49.1,57.34,63.19,67.55,70.32,64.9,52.12,46.85,38.7
